Name,SpaceFlights,FlightHours,Spacewalks,SpacewalkHours,SpaceFlights_Score,FlightHours_Score,Spacewalks_Score,SpacewalkHours_Score,OverallScore
Robert L. Behnken,708,6,37.0,0.0,53,80,78,100,74.0
John E. Blaha,3861,0,0.0,0.0,65,50,50,100,57.0
Michael J. Bloomfield,779,0,0.0,0.0,53,50,50,100,51.0
Guion S. Bluford Jr. ,689,0,0.0,0.0,53,50,50,100,51.0
Karol J. Bobko,386,0,0.0,0.0,52,50,50,100,51.0
Eric A. Boe,687,0,0.0,0.0,53,50,50,100,51.0
Charles F. Bolden Jr. ,680,0,0.0,0.0,53,50,50,100,51.0
Frank Borman,477,0,0.0,0.0,52,50,50,100,51.0
Stephen G. Bowen,970,7,47.0,0.0,54,85,85,100,79.0
Kenneth D. Bowersox,5078,2,13.0,0.0,70,60,60,100,67.0
Charles E. Brady Jr. ,405,0,0.0,0.0,52,50,50,100,51.0
Vance D. Brand,752,0,0.0,0.0,53,50,50,100,51.0
Daniel C. Brandenstein,789,0,0.0,0.0,53,50,50,100,51.0
Randolph J. Bresnik,259,2,12.0,0.0,51,60,59,100,58.0
Roy D. Bridges Jr. ,190,0,0.0,0.0,51,50,50,100,50.0
Curtis L. Brown Jr. ,1383,0,0.0,0.0,55,50,50,100,52.0
David M. Brown,382,0,0.0,0.0,51,50,50,100,50.0
Mark N. Brown,249,0,0.0,0.0,51,50,50,100,50.0
James F. Buchli,490,0,0.0,0.0,52,50,50,100,51.0
Jay Clark Buckey,381,0,0.0,0.0,51,50,50,100,50.0
John S. Bull,0,0,0.0,0.0,50,50,50,100,50.0
Daniel C. Burbank,4512,1,7.0,0.0,68,55,55,100,62.0
Daniel W. Bursch,5446,2,12.0,0.0,71,60,59,100,67.0
Robert D. Cabana,910,0,0.0,0.0,54,50,50,100,52.0
Yvonne D. Cagle,0,0,0.0,0.0,50,50,50,100,50.0
Fernando Caldeiro,0,0,0.0,0.0,50,50,50,100,50.0
Tracy E. Caldwell (Dyson),4531,3,23.0,0.0,68,65,67,100,71.0
Charles J. Camarda,333,0,0.0,0.0,51,50,50,100,50.0
Kenneth D. Cameron,562,0,0.0,0.0,52,50,50,100,51.0
Duane G. Carey,262,0,0.0,0.0,51,50,50,100,50.0
M. Scott Carpenter,4,0,0.0,0.0,50,50,50,100,50.0
Gerald P. Carr,2017,3,16.0,0.0,58,65,62,100,64.0
